epoch,binary_crossentropy,dice_coef,loss,precision,recall,val_binary_crossentropy,val_dice_coef,val_loss,val_precision,val_recall
0,0.5346318803639407,0.4619215914969552,-0.4619215914969552,0.4282844242289967,0.6015587840963103,2.654658183798326,0.3236105158265713,-0.3236105158265713,0.20187441730393774,0.8586453653014867
1,0.5556259655033473,0.6063193627615003,-0.6063193627615003,0.5814595897381519,0.6469651061949558,1.1251117853911776,0.44181456166699473,-0.4418145622049428,0.337920245011791,0.6562450857369048
2,0.566780422403989,0.6476214670770971,-0.6476214670770971,0.6268556564078284,0.6806264092210775,1.7599963322012864,0.39821745492921407,-0.39821745492921407,0.2782604628198844,0.7179652470759106
3,0.553304168931743,0.679943539470034,-0.6799435394054989,0.6617994024258973,0.7095027401520608,1.049153466840083,0.5451019565551289,-0.5451019565551289,0.44196369786770334,0.725059337779503
4,0.5346571658405198,0.7063077108046357,-0.7063077108046357,0.6941192387605241,0.7284745801935572,1.1182998985805237,0.5809305715862164,-0.5809305715862164,0.4867916236285268,0.7291386562133955
5,0.492138185984854,0.7339962472927007,-0.7339962472927007,0.723812653601247,0.7504267056120479,0.6639269771128355,0.6198013884818941,-0.6198013884818941,0.7097940436877068,0.554109576914715
6,0.46013526666882026,0.7535664378151123,-0.7535664377505772,0.7468967072088102,0.7666035194245187,0.6207475297502663,0.6779100473176701,-0.6779100473176701,0.6979710385472335,0.663233581970745
7,0.4413531969872942,0.7705773640344957,-0.7705773640344957,0.769887289413904,0.7776523704469952,0.6452165786647625,0.675337813068383,-0.675337813068383,0.7076575500009723,0.6498094141913665
8,0.4475688043612327,0.7733360983402299,-0.7733360983402299,0.772064663143889,0.7808513605992171,0.7993758405804203,0.6625217252044471,-0.6625217252044471,0.6285906676135768,0.7059677199120986
9,0.4242102987919085,0.7916050240068324,-0.7916050239422973,0.7923215231295528,0.7973587221142119,0.6562029823714646,0.6923811509936295,-0.6923811509936295,0.7145147269813593,0.6748421322352619
10,0.4022633948138701,0.7993274274818203,-0.7993274274818203,0.8027520209821906,0.8012158354157852,0.7054951595485426,0.7066130994244173,-0.7066130994244173,0.6823408030215583,0.7359080059648851
11,0.39527353530143855,0.8031507055704704,-0.8031507055704704,0.8079225994540066,0.8044621477451299,0.6614230646338274,0.6884096297116056,-0.6884096297116056,0.7266022982580137,0.6571731541561305
12,0.4033855364636561,0.8070691847966418,-0.8070691847966418,0.8101064551697504,0.8102429257346832,0.7133475547343229,0.6504076949263041,-0.6504076949263041,0.7778448714619189,0.5621444687379145
13,0.3803691117019558,0.814630739458612,-0.814630739458612,0.8204844586515695,0.8142445103437573,0.6627983185143247,0.7110119313539581,-0.7110119313539581,0.7329668063764537,0.6933459313552732
